Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",70.81,-2.1,-2.88%,71.74,69.89,1701032,"14:47 ET"
AAL,"American Airlines Gp",36.4,-0.29,-0.79%,37.1,35.79,6033526,"14:47 ET"
AAP,"Advance Auto Parts Inc",173.13,-5.06,-2.84%,177,170.75,780597,"14:47 ET"
AAPL,"Apple Inc",172.27,-4.42,-2.50%,174.36,170.42,32389651,"14:47 ET"
ABBV,"Abbvie Inc",87.96,-2.59,-2.86%,90.48,87.17,4483303,"14:47 ET"
ABC,"Amerisourcebergen Corp",84.21,-3.4,-3.88%,86.99,83.33,819041,"14:47 ET"
ABMD,"Abiomed Inc",323.89,-3.29,-1.01%,329.6,310.58,307605,"14:47 ET"
ABT,"Abbott Laboratories",70.14,-1.36,-1.90%,71.08,69.92,5393368,"14:47 ET"
ACN,"Accenture Plc",156.98,-7.23,-4.40%,161.74,156.95,2970570,"14:47 ET"
ADBE,"Adobe Systems Inc",245.72,-0.099999999999994,-0.04%,249.17,237.96,2444277,"14:47 ET"
ADI,"Analog Devices",88.05,-2.39,-2.64%,89.09,86.17,1798416,"14:47 ET"
ADM,"Archer Daniels Midland Company",44.88,-0.73,-1.60%,45.47,44.17,2799122,"14:47 ET"
ADP,"Automatic Data Procs",141.21,-2.4,-1.67%,142.82,138.29,1491925,"14:46 ET"
ADS,"Alliance Data Systems Corp",184.12,-4.74,-2.51%,186.48,181.8,471515,"14:46 ET"
ADSK,"Autodesk Inc",137.72,-2.12,-1.52%,140.04,133.3,1356767,"14:47 ET"
AEE,"Ameren Corp",69.36,-0.68000000000001,-0.97%,70.43,68.68,718531,"14:47 ET"
AEP,"American Electric Power Company",78.02,-0.40000000000001,-0.51%,79.25,77.11,1474246,"14:47 ET"
AES,"The Aes Corp",15.29,-0.17,-1.10%,15.34,15.04,4496233,"14:47 ET"
AFL,"Aflac Incorporated",42.71,-1.58,-3.57%,43.88,42.69,2372361,"14:47 ET"
AGN,"Allergan Plc",152.68,-1.32,-0.86%,153.96,149.81,1625203,"14:47 ET"
AIG,"American International Group",38.58,-2.19,-5.37%,40.15,38.5,9538151,"14:47 ET"
AIV,"Apartment Investment and Management",46.66,0.58,+1.26%,46.77,45.63,1137084,"14:47 ET"
AIZ,"Assurant Inc",91.25,-4.16,-4.36%,94.12,89.57,622892,"14:46 ET"
AJG,"Arthur J. Gallagher & Co",73.9,-2.21,-2.90%,75.2,73.69,781831,"14:47 ET"
AKAM,"Akamai Technologies",68.35,-0.36,-0.52%,69.68,67.01,1278365,"14:46 ET"
ALB,"Albemarle Corp",89.61,-3.58,-3.84%,92.04,88.02,1409222,"14:47 ET"
ALGN,"Align Technology I",214.99,-5.96,-2.70%,219,210.11,986923,"14:47 ET"
ALK,"Alaska Air Group",69.14,-0.89,-1.27%,69.9,68.82,1389735,"14:47 ET"
ALL,"Allstate Corp",83.47,-2.93,-3.39%,86.07,83.33,1281441,"14:47 ET"
ALLE,"Allegion Plc Ordinary Shares Wh",88.32,-1.96,-2.17%,89.56,87.09,368728,"14:47 ET"
ALXN,"Alexion Pharm Inc",118.83,-3.47,-2.84%,121.01,116.51,910389,"14:46 ET"
AMAT,"Applied Materials",34.22,-1.21,-3.42%,34.88,33.98,12225705,"14:47 ET"
AMD,"Adv Micro Devices",20.81,-0.31,-1.47%,21.41,20.06,86378181,"14:47 ET"
AME,"Amtek Inc",70.69,-1.39,-1.93%,71.22,68.74,1443790,"14:47 ET"
AMG,"Affiliated Managers Group",104.55,-0.60000000000001,-0.57%,105.63,101.34,693802,"14:46 ET"
AMGN,"Amgen Inc",195.62,-2.14,-1.08%,197.34,193.2,1847554,"14:47 ET"
AMP,"Ameriprise Financial Services",116.09,-5.34,-4.40%,118.38,113.21,1124091,"14:47 ET"
AMT,"American Tower Corp",164.55,1.07,+0.65%,165.22,161.13,1460200,"14:47 ET"
AMZN,"Amazon.com Inc",1667.9,-0.5,-0.03%,1690.15,1609.85,6703016,"14:47 ET"
ANET,"Arista Networks Inc",233.35,3.62,+1.58%,235.74,225,856623,"14:47 ET"
ANSS,"Ansys Inc",154.77,-1.87,-1.19%,156.51,152.18,444109,"14:46 ET"
ANTM,"Anthem Inc",281.95,-10.97,-3.75%,291.64,274.97,1438532,"14:47 ET"
AON,"AON Plc",158.3,-4.42,-2.72%,161.05,156.28,530438,"14:46 ET"
AOS,"Smith [A.O.] Corp",43.85,-1.32,-2.92%,44.63,43.26,1380218,"14:47 ET"
APA,"Apache Corp",33.22,-1.82,-5.19%,34.23,32.97,3412083,"14:47 ET"
APC,"Anadarko Petroleum Corp",50.93,-2.05,-3.87%,51.76,50.26,2774242,"14:47 ET"
APD,"Air Products and Chemicals",158.6,-5.32,-3.25%,161.65,156.85,1097077,"14:46 ET"
APH,"Amphenol Corp",82.77,-2.88,-3.36%,84.25,81.85,2054510,"14:47 ET"
APTV,"Aptiv Plc",69.03,-2.55,-3.56%,70.32,69,1615142,"14:47 ET"
ARE,"Alexandria Real Estate Equities",123.57,0.029999999999987,+0.02%,124.04,121.5,631672,"14:46 ET"
ARNC,"Arconic Inc",20.23,-0.62,-2.97%,20.71,20.17,2967978,"14:47 ET"
ATVI,"Activision Blizzard",47.49,0.97,+2.09%,48.31,45.5,12313018,"14:47 ET"
AVB,"Avalonbay Communities",187.05,-0.26999999999998,-0.14%,188.14,184.2,779017,"14:47 ET"
AVGO,"Broadcom Ltd",222.19,-9.85,-4.24%,226.5,217.61,3346695,"14:47 ET"
AVY,"Avery Dennison Corp",92.46,-1.21,-1.29%,93.22,91.62,681533,"14:46 ET"
AWK,"American Water Works",96.13,0.34999999999999,+0.37%,96.68,95.44,798321,"14:46 ET"
AXP,"American Express Company",105.89,-1.75,-1.63%,106.64,104.78,4500806,"14:47 ET"
AZO,Autozone,853.03,-27.04,-3.07%,877.94,852.03,368714,"14:47 ET"
BA,"Boeing Company",327,-15.5,-4.53%,333.63,317.3,6725949,"14:47 ET"
BAC,"Bank of America Corp",25.69,-1.3,-4.82%,26.43,25.53,86743876,"14:47 ET"
BAX,"Baxter International Inc",65.34,-1.92,-2.85%,66.81,64.96,2511891,"14:47 ET"
BBT,"BB&T Corp",47.12,-1.25,-2.58%,47.87,46.91,3766556,"14:47 ET"
BBY,"Best Buy Co",61.06,-1.2,-1.93%,62.1,60.34,2993531,"14:47 ET"
BDX,"Becton Dickinson and Company",236.28,-8.64,-3.53%,243.56,234.76,1144543,"14:47 ET"
BEN,"Franklin Resources",31.89,-1.38,-4.15%,32.67,31.14,4244241,"14:47 ET"
BF.B,"Brown Forman Inc Cl B",46.07,-0.59,-1.26%,47.36,45.74,910567,"14:47 ET"
BHF,"Brighthouse Financial Inc",35.38,-3.43,-8.84%,38.08,35.37,2532266,"14:47 ET"
BHGE,"Baker Hughes A Ge Co. Cl. A",21.23,-0.91,-4.11%,21.71,21.05,3666288,"14:47 ET"
BIIB,"Biogen Inc",323.27,0.53999999999996,+0.17%,325.36,313.64,840273,"14:47 ET"
BK,"Bank of New York Mellon Corp",47.23,-1.47,-3.02%,48,46.67,7123620,"14:47 ET"
BKNG,"Booking Holdings Inc",1870.71,7.5699999999999,+0.41%,1889.93,1825.51,225678,"14:46 ET"
BLK,Blackrock,391.79,-16.96,-4.15%,400.43,381.38,937321,"14:47 ET"
BLL,"Ball Corp",48.43,-0.6,-1.22%,48.71,47.94,3141809,"14:47 ET"
BMY,"Bristol-Myers Squibb Company",52.42,0.39,+0.75%,53.16,51.66,6296851,"14:47 ET"
BR,"Broadridge Financial Solutions Llc",98.88,-4.21,-4.08%,101.86,98.88,759244,"14:47 ET"
BRK.B,"Berkshire Hath Hld Cl B",203.88,-6.24,-2.97%,208.07,202.92,5118205,"14:47 ET"
BSX,"Boston Scientific Corp",35.89,-0.63,-1.73%,36.38,35.25,6272005,"14:47 ET"
